"N° Dossier","Client","Chantier","N° Devis","Client - Chantier"
"100364","Cesmae","B6 Life","28575","Cesmae - B6 Life"
"100608","Vinci Facilities","Tivoli E307 Réaménagement","29398","Vinci Facilities - Tivoli E307 Réaménagement"
"100605","Neltech","Le Colisée","29354","Neltech - Le Colisée"
"100614","Engie Cofely","Champs - Extracteur + Pompes","29437","Engie Cofely - Champs - Extracteur + Pompes"
"100623","Aurion","Senat CPCU","29476","Aurion - Senat CPCU"
"100616","Engie Cofely","Bat Levoisier","29479","Engie Cofely - Bat Levoisier"
"100507","Derichebourg","Hotel de la région","29131D","Derichebourg - Hotel de la région"
"100599","Energilec","Tivoli F341 et F349","29198","Energilec - Tivoli F341 et F349"
"100444","Les Compagnons d'Eric","Lycée Lognes","28316E","Les Compagnons d'Eric - Lycée Lognes"
"100588","Engie Axima","Covea Rue Du Renard","29366","Engie Axima - Covea Rue Du Renard"
"100574","Cegelec","Tivoli C4 et G4","29140","Cegelec - Tivoli C4 et G4"
"100604","Eiffage Energie","Club D","29342F","Eiffage Energie - Club D"
"100564","Techni+","Thales Tiger","29323A","Techni+ - Thales Tiger"
"100522","Axima","IRO","29133E","Axima - IRO"
"100603","Secla","Kiosque","29158A","Secla - Kiosque"
"100541","Sitème","Bussy Saint Georges","29104C","Sitème - Bussy Saint Georges"
"100514","Energimotique","Club Med 2","29164","Energimotique - Club Med 2"
"100567","IDFC","Reuil Malmaison","29315","IDFC - Reuil Malmaison"
"100553","IDFC","Vaux le Pénil","29268","IDFC - Vaux le Pénil"
"100571","IDFC","Rosny Icade","29318","IDFC - Rosny Icade"
"100566","IDFC","Vaux le Pénil Bat GH","29313","IDFC - Vaux le Pénil Bat GH"
"100621","Project-IM","69 rue de la victoire","29442","Project-IM - 69 rue de la victoire"
"100624","Rougnon","Contrat 69 rue de la victoire","29684","Rougnon - Contrat 69 rue de la victoire"
"100613","Spirec","Ch Paris Tenon","29367","Spirec - Ch Paris Tenon"
"100484","Cegelec","Le Balzac","28429H","Cegelec - Le Balzac"
"100505","Engie Cofely","CAA Vaugirard Maintenance","29128","Engie Cofely - CAA Vaugirard Maintenance"
"100355","Brunier","SST Jean Macé","28632","Brunier - SST Jean Macé"
"100277","Spie Batignolles","Hotel rue de Nancy","28101E","Spie Batignolles - Hotel rue de Nancy"
"100542","MATE","Coupvray","28979C","MATE - Coupvray"
"100372","ETEC","Ilot Queyries Bat B","28896","ETEC - Ilot Queyries Bat B"
"100480","ETEC","Ilot Queyries Bat A","29045","ETEC - Ilot Queyries Bat A"
"100289","Les Compagnons d'Eric","Lycée Lucie Aubrac","28012K","Les Compagnons d'Eric - Lycée Lucie Aubrac"
"100509","Axima","New corner","29046E","Axima - New corner"
